2026-01-20 17:55:32,463 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:55:32,463 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 17:55:32,463 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 17:55:32,463 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 17:55:32,463 | INFO | __main__ | Model Base  : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models
2026-01-20 17:55:32,463 | INFO | __main__ | ===================================================
2026-01-20 17:55:32,463 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:55:59,698 | INFO | __main__ | Checking if model exists locally...
2026-01-20 17:55:59,752 | INFO | __main__ | Model artifacts:
2026-01-20 17:55:59,752 | INFO | __main__ | Model    : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 17:55:59,756 | INFO | __main__ | Scaler   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 17:55:59,756 | INFO | __main__ | Metadata : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 17:55:59,759 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 17:55:59,760 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 17:55:59,760 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 17:55:59,762 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:13:59,210 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 18:13:59,211 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 18:13:59,213 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 18:13:59,213 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 18:13:59,213 | INFO | __main__ | Model Base  : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models
2026-01-20 18:13:59,215 | INFO | __main__ | ===================================================
2026-01-20 18:13:59,215 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 18:15:34,442 | INFO | __main__ | Checking if model exists locally...
2026-01-20 18:15:34,495 | INFO | __main__ | Model artifacts:
2026-01-20 18:15:34,495 | INFO | __main__ | Model    : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:15:34,495 | INFO | __main__ | Scaler   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:15:34,495 | INFO | __main__ | Metadata : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:15:34,495 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 18:15:34,495 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:15:34,495 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:15:34,495 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:20:48,881 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 18:20:48,881 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 18:20:48,881 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 18:20:48,881 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 18:20:48,881 | INFO | __main__ | Model Base  : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models
2026-01-20 18:20:48,881 | INFO | __main__ | ===================================================
2026-01-20 18:20:48,881 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 18:22:21,658 | INFO | __main__ | Checking if model exists locally...
2026-01-20 18:22:21,713 | INFO | __main__ | Model artifacts:
2026-01-20 18:22:21,714 | INFO | __main__ | Model    : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:22:21,715 | INFO | __main__ | Scaler   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:22:21,716 | INFO | __main__ | Metadata : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
